product,category,units_this,units_last,revenue,margin_pct
Wireless Earbuds,Tech,96,42,2880,34
Desk Lamps,Home Office,47,8,1410,38
Laptop Stands,Home Office,28,15,1120,44
Gel Pens (12pk),Stationery,68,45,340,53
USB-C Cables,Tech,75,70,975,41
HDMI Cables,Tech,52,50,624,39
Notebooks,Stationery,58,60,464,45
Sticky Notes,Stationery,43,40,215,55
Phone Cases,Tech,92,88,1840,6
A4 Printer Paper,Stationery,74,130,518,22
Ballpoint Pens (60pk),Stationery,95,120,285,52
Bluetooth Speakers,Tech,18,30,1080,30
Power Banks,Tech,14,25,700,33
Whiteboard Markers,Stationery,34,35,238,50
